"","target","Gender","EngineHP","credit_history","Years_Experience","annual_claims","Marital_Status","Vehical_type","Miles_driven_annually","size_of_family","Age_bucket","credit_history_bucket","State"
"8034",1,"M",281,671,3,0,"Married","Van",72060,2,"<18","Good","NJ"
"8035",1,"M",225,616,2,2,"Married","Car",80116,7,"18-27","Fair","MA"
"8036",1,"F",132,683,14,0,"Married","Truck",14914,1,">40","Good","NY"
"8037",0,"F",231,593,5,0,"Single","Truck",12375,8,"35-40","Fair","IL"
"8038",1,"M",235,360,5,2,"Single","Utility",16574,5,"18-27","Very Poor","OR"
"8039",0,"F",209,635,8,1,"Single","Truck",14077,2,"35-40","Fair","MO"
"8040",1,"M",103,672,24,1,"Married","Van",11213,8,">40","Good","MO"
"8041",1,"F",110,670,10,0,"Married","Car",5956,7,"28-34","Good","AZ"
"8042",1,"F",80,742,26,1,"Married","Car",5616,2,">40","Very Good","WA"
"8043",1,"M",83,778,19,1,"Married","Van",8383,5,">40","Very Good","NJ"
"8044",1,"M",184,845,2,2,"Single","Car",12202,6,"18-27","Exceptional","CT"
"8045",0,"M",692,616,2,1,"Married","Van",10072,2,"18-27","Fair","MI"
"8046",1,"F",420,502,5,2,"Single","Truck",13517,1,"35-40","Very Poor","OR"
"8047",1,"F",152,700,22,1,"Married","Car",9188,4,">40","Good","CT"
"8048",1,"M",124,672,11,1,"Married","Truck",8466,5,">40","Good","MI"
"8049",1,"M",154,458,1,3,"Single","Car",12245,6,"18-27","Very Poor","NY"
"8050",0,"F",215,618,7,0,"Single","Truck",11102,4,"35-40","Fair","WV"
"8051",1,"F",127,672,19,1,"Married","Car",7215,1,">40","Good","NM"
"8052",1,"M",199,721,3,2,"Single","Car",10062,4,"18-27","Good","WV"
"8053",1,"M",159,684,22,1,"Married","Van",6356,4,">40","Good","OR"
"8054",1,"F",117,732,23,0,"Married","Car",12967,8,">40","Good","CT"
"8055",1,"F",123,666,8,3,"Single","Van",48005,5,"35-40","Fair","SD"
"8056",1,"M",129,730,31,1,"Married","Truck",12561,4,">40","Good","ND"
"8057",1,"M",120,821,1,0,"Single","Utility",11302,7,"<18","Exceptional","OR"
"8058",0,"M",86,787,17,0,"Single","Utility",13316,6,"28-34","Very Good","WV"
"8059",1,"M",106,806,15,4,"Single","Utility",10521,7,">40","Exceptional","NJ"
"8060",1,"M",124,797,11,0,"Married","Van",12555,8,">40","Very Good","AR"
"8061",1,"M",291,692,3,3,"Single","Car",11292,8,"18-27","Good","OR"
"8062",1,"M",148,740,19,1,"Married","Truck",7970,8,">40","Very Good","RI"
"8063",1,"M",454,720,1,3,"Single","Car",12757,6,"18-27","Good","OR"
"8064",0,"F",406,577,7,3,"Single","Truck",14980,7,"35-40","Very Poor","SD"
"8065",1,"M",113,776,19,1,"Married","Truck",14125,7,">40","Very Good","OK"
"8066",1,"F",694,730,39,3,"Married","Truck",24939,4,">40","Good","AL"
"8067",1,"M",94,799,21,0,"Married","Van",7916,7,">40","Very Good","NV"
"8068",1,"F",360,593,5,3,"Single","Truck",13526,2,"35-40","Fair","KS"
"8069",1,"M",264,594,4,3,"Married","Car",15343,6,"18-27","Fair","CT"
"8070",1,"M",157,689,16,1,"Single","Utility",11596,4,">40","Good","MT"
"8071",0,"M",97,701,13,0,"Single","Utility",11275,6,">40","Good","OR"
"8072",1,"F",101,531,7,2,"Single","Van",12371,7,"35-40","Very Poor","OR"
"8073",1,"F",139,676,21,1,"Married","Truck",14105,4,">40","Good","VT"
"8074",1,"M",106,686,38,0,"Married","Utility",13991,2,">40","Good","VT"
"8075",1,"M",130,342,4,2,"Single","Car",24929,6,"18-27","Very Poor","MI"
"8076",1,"F",127,692,13,1,"Married","Truck",8065,3,">40","Good","KY"
"8077",1,"F",152,688,24,0,"Married","Car",12197,7,">40","Good","KY"
"8078",1,"M",123,678,16,0,"Married","Van",12061,6,"35-40","Good","LA"
"8079",1,"M",122,799,25,1,"Married","Van",13498,3,">40","Very Good","NJ"
"8080",1,"F",486,834,5,3,"Single","Truck",20732,4,"35-40","Exceptional","OR"
"8081",1,"F",477,834,6,3,"Single","Truck",19143,6,"35-40","Exceptional","CT"
"8082",0,"F",290,686,8,2,"Single","Truck",11336,2,"35-40","Good","KS"
"8083",1,"M",86,674,3,1,"Married","Van",7506,2,"18-27","Good","VT"
"8084",1,"M",102,792,8,1,"Married","Utility",13055,5,"18-27","Very Good","OR"
"8085",1,"M",133,805,5,2,"Single","Car",15845,3,"18-27","Exceptional","NJ"
"8086",1,"F",341,584,8,3,"Single","Truck",17129,5,"35-40","Fair","IN"
"8087",1,"F",110,750,25,1,"Married","Car",21486,7,">40","Very Good","MN"
"8088",1,"F",92,726,8,3,"Single","Truck",10095,3,"35-40","Good","OR"
"8089",1,"M",145,686,15,0,"Married","Van",12242,5,">40","Good","MO"
"8090",1,"M",143,797,13,1,"Married","Van",14158,4,">40","Very Good","NJ"
"8091",1,"F",690,675,37,1,"Married","Car",20005,7,">40","Good","WV"
"8092",0,"F",103,778,22,0,"Single","Car",6939,1,">40","Very Good","VT"
"8093",1,"F",183,692,22,1,"Married","Car",7800,4,">40","Good","NJ"
"8094",1,"F",101,690,36,2,"Married","Car",11344,3,">40","Good","NM"
"8095",1,"M",349,821,2,2,"Single","Car",12851,8,"18-27","Exceptional","ND"
"8096",0,"M",92,682,9,4,"Single","Utility",12488,2,"18-27","Good","WV"
"8097",0,"M",144,774,17,0,"Married","Utility",8256,1,">40","Very Good","WV"
"8098",0,"F",131,688,26,0,"Married","Truck",13909,2,">40","Good","KY"
"8099",1,"M",145,726,10,0,"Married","Truck",6462,8,">40","Good","NJ"
"8100",1,"M",107,790,37,0,"Married","Van",14321,4,">40","Very Good","SD"
"8101",1,"M",96,705,11,0,"Married","Van",14965,2,">40","Good","NC"
"8102",0,"F",137,772,7,1,"Single","Car",5067,8,"18-27","Very Good","NM"
"8103",1,"F",87,729,16,1,"Single","Car",6013,3,">40","Good","NJ"
"8104",1,"F",490,838,7,2,"Single","Truck",17027,2,"35-40","Exceptional","NJ"
"8105",1,"F",129,697,18,1,"Married","Truck",8397,5,"35-40","Good","NJ"
"8106",0,"F",128,797,13,1,"Married","Car",20210,1,">40","Very Good","CT"
"8107",1,"M",94,689,39,0,"Married","Truck",8950,4,">40","Good","WY"
"8108",1,"F",99,721,15,1,"Married","Car",14382,6,">40","Good","NY"
"8109",1,"F",81,790,17,1,"Single","Car",11190,4,">40","Very Good","AL"
"8110",0,"M",85,753,19,0,"Married","Truck",6026,1,">40","Very Good","CT"
"8111",0,"F",145,675,15,0,"Married","Car",12170,8,">40","Good","NJ"
"8112",1,"F",125,680,19,2,"Married","Car",11882,7,">40","Good","NY"
"8113",1,"M",133,781,15,1,"Married","Truck",5783,6,">40","Very Good","NJ"
"8114",0,"M",260,710,5,2,"Single","Car",13888,5,"18-27","Good","CT"
"8115",1,"M",96,707,21,0,"Married","Van",8490,3,">40","Good","OR"
"8116",1,"F",149,712,11,1,"Single","Car",14871,3,">40","Good","CT"
"8117",0,"F",441,667,6,2,"Single","Utility",14720,8,"35-40","Fair","OR"
"8118",1,"M",184,722,3,2,"Single","Car",11580,3,"18-27","Good","CT"
"8119",1,"M",140,752,5,1,"Married","Utility",8629,2,"18-27","Very Good","CT"
"8120",1,"M",408,682,4,2,"Married","Car",10037,2,"18-27","Good","OR"
"8121",0,"M",139,741,15,1,"Married","Truck",14870,5,">40","Very Good","IA"
"8122",1,"M",96,794,3,4,"Single","Utility",12518,2,"18-27","Very Good","OR"
"8123",1,"M",113,676,15,0,"Married","Truck",12281,7,"28-34","Good","NJ"
"8124",1,"M",120,713,25,4,"Single","Utility",8430,1,">40","Good","VT"
"8125",0,"F",395,659,5,3,"Single","Truck",11451,4,"35-40","Fair","ND"
"8126",0,"M",112,659,5,3,"Single","Car",99853,2,"18-27","Fair","NJ"
"8127",1,"F",299,444,6,2,"Single","Truck",13736,6,"35-40","Very Poor","OR"
"8128",1,"F",158,795,12,0,"Married","Car",16563,8,"28-34","Very Good","IL"
"8129",0,"F",501,697,18,0,"Married","Car",21637,1,">40","Good","CT"
"8130",1,"M",101,703,23,1,"Married","Utility",11626,6,">40","Good","RI"
"8131",1,"F",158,783,17,1,"Married","Car",8220,7,">40","Very Good","KY"
"8132",1,"M",104,723,20,0,"Single","Utility",12240,4,">40","Good","NY"
"8133",1,"M",114,678,36,1,"Single","Utility",14208,3,">40","Good","NY"
"8134",1,"M",213,842,5,0,"Married","Car",20501,4,"18-27","Exceptional","NJ"
"8135",1,"F",449,484,5,2,"Single","Truck",10906,5,"35-40","Very Poor","WV"
"8136",0,"F",126,764,10,0,"Married","Truck",10270,2,">40","Very Good","VT"
"8137",0,"M",132,841,7,1,"Single","Utility",6500,6,"18-27","Exceptional","NJ"
"8138",1,"F",114,775,18,0,"Married","Car",10313,8,"35-40","Very Good","PA"
"8139",0,"F",108,671,10,0,"Married","Car",5895,4,"28-34","Good","CA"
"8140",1,"F",110,765,15,1,"Single","Car",8868,1,">40","Very Good","NJ"
"8141",1,"F",119,690,20,0,"Married","Car",6160,8,">40","Good","OR"
"8142",1,"M",103,717,37,1,"Married","Utility",8519,6,">40","Good","NY"
"8143",1,"M",527,603,1,0,"Married","Truck",10174,5,"18-27","Fair","NJ"
"8144",1,"M",152,783,12,0,"Single","Utility",9434,2,"35-40","Very Good","NJ"
"8145",0,"F",329,650,6,2,"Single","Truck",18026,1,"35-40","Fair","MA"
"8146",0,"M",199,599,5,1,"Single","Car",13646,1,"18-27","Fair","CT"
"8147",1,"M",104,679,22,1,"Married","Van",14807,8,">40","Good","NJ"
"8148",1,"M",247,639,2,2,"Married","Car",98801,1,"18-27","Fair","AL"
"8149",0,"F",293,419,7,3,"Single","Truck",12616,1,"35-40","Very Poor","PA"
"8150",0,"F",315,716,20,0,"Married","Car",11571,6,">40","Good","KY"
"8151",1,"F",257,681,6,3,"Single","Truck",10816,2,"28-34","Good","NY"
"8152",1,"F",102,682,23,2,"Married","Car",6156,8,">40","Good","IA"
"8153",1,"F",147,790,8,0,"Married","Truck",7477,4,"28-34","Very Good","NJ"
"8154",1,"F",117,706,6,2,"Single","Van",13246,2,"35-40","Good","MI"
"8155",1,"M",113,783,29,0,"Married","Utility",11416,1,">40","Very Good","SD"
"8156",0,"M",158,686,19,0,"Married","Car",7034,4,"28-34","Good","TN"
"8157",1,"M",146,790,8,0,"Married","Truck",5189,3,"18-27","Very Good","ME"
"8158",1,"F",151,722,25,1,"Married","Car",7035,4,">40","Good","OR"
"8159",1,"M",359,591,3,0,"Married","Car",11163,8,"18-27","Fair","ID"
"8160",1,"M",385,764,4,0,"Married","Van",6753,2,"18-27","Very Good","VT"
"8161",1,"M",158,775,12,1,"Married","Van",14666,8,">40","Very Good","WA"
"8162",1,"M",299,440,1,1,"Married","Car",14419,7,"18-27","Very Poor","NY"
"8163",0,"M",160,760,26,0,"Single","Utility",7262,7,">40","Very Good","OR"
"8164",1,"F",122,683,5,0,"Single","Car",10727,6,"<18","Good","SC"
"8165",0,"F",80,684,15,0,"Married","Car",7371,2,">40","Good","NM"
"8166",1,"M",82,520,6,1,"Married","Utility",37989,8,"28-34","Very Poor","WI"
"8167",1,"M",146,741,37,1,"Married","Van",9572,1,">40","Very Good","CT"
"8168",1,"M",135,771,19,0,"Married","Van",9118,8,">40","Very Good","OR"
"8169",1,"F",99,710,25,1,"Single","Car",5080,2,">40","Good","FL"
"8170",1,"M",157,688,25,0,"Married","Truck",5748,5,">40","Good","NJ"
"8171",1,"F",159,684,31,0,"Married","Car",10838,2,">40","Good","OR"
"8172",1,"F",84,759,12,0,"Married","Car",18298,6,">40","Very Good","TX"
"8173",1,"F",227,622,6,0,"Single","Truck",14687,5,"35-40","Fair","AZ"
"8174",0,"M",150,789,21,1,"Married","Van",11710,6,">40","Very Good","NY"
"8175",1,"F",128,770,24,0,"Married","Truck",8225,4,">40","Very Good","OR"
"8176",0,"M",363,662,3,1,"Single","Car",10762,4,"18-27","Fair","MS"
"8177",1,"F",99,770,5,1,"Married","Truck",5062,5,"18-27","Very Good","NJ"
"8178",1,"F",91,755,11,0,"Married","Car",17410,1,">40","Very Good","NJ"
"8179",1,"F",155,765,10,0,"Married","Truck",16904,3,"18-27","Very Good","NJ"
"8180",0,"F",96,768,24,1,"Married","Car",10059,2,">40","Very Good","NJ"
"8181",1,"M",186,434,1,2,"Single","Car",14198,6,"18-27","Very Poor","NY"
"8182",1,"M",256,662,4,0,"Married","Car",14334,3,"18-27","Fair","NY"
"8183",0,"F",295,681,8,2,"Married","Car",32015,2,"18-27","Good","NJ"
"8184",0,"F",115,698,14,0,"Married","Car",7600,6,">40","Good","MN"
"8185",0,"M",88,773,25,1,"Married","Van",7510,2,">40","Very Good","MA"
"8186",1,"F",95,710,12,0,"Married","Truck",7485,7,"35-40","Good","NY"
"8187",1,"F",253,675,6,3,"Single","Truck",14013,8,"35-40","Good","OR"
"8188",1,"M",385,348,3,2,"Married","Car",23488,5,"18-27","Very Poor","WV"
"8189",1,"M",133,317,5,2,"Married","Truck",13872,3,"35-40","Very Poor","CT"
"8190",1,"F",153,745,18,0,"Married","Car",14889,2,">40","Very Good","NY"
"8191",1,"M",120,697,25,0,"Married","Van",10490,4,">40","Good","NY"
"8192",0,"F",143,791,18,1,"Married","Car",14544,5,">40","Very Good","NJ"
"8193",0,"F",90,695,15,0,"Married","Car",14358,1,">40","Good","MS"
"8194",1,"M",149,619,4,2,"Single","Car",76119,1,"18-27","Fair","NJ"
"8195",1,"F",82,737,25,1,"Married","Car",5369,1,">40","Good","NJ"
"8196",1,"M",124,708,12,0,"Married","Van",5333,6,">40","Good","CT"
"8197",0,"M",533,706,40,0,"Married","Van",6684,6,">40","Good","CT"
"8198",0,"F",150,688,20,1,"Married","Car",13556,1,"35-40","Good","VT"
"8199",0,"M",480,583,4,0,"Single","Car",12451,3,"18-27","Fair","CT"
"8200",1,"F",120,780,36,0,"Married","Car",11498,4,">40","Very Good","OR"
"8201",1,"F",318,657,6,0,"Single","Truck",12694,7,"35-40","Fair","NJ"
"8202",0,"M",396,722,2,2,"Married","Car",12894,4,"18-27","Good","RI"
"8203",0,"M",316,729,3,1,"Married","Van",63248,8,"<18","Good","CT"
"8204",1,"M",228,631,1,2,"Single","Utility",99658,5,"18-27","Fair","WA"
"8205",0,"M",80,738,12,1,"Single","Utility",12847,8,"35-40","Good","NY"
"8206",1,"F",95,675,19,0,"Married","Car",10804,5,">40","Good","OH"
"8207",0,"M",350,657,1,3,"Single","Car",59825,8,"18-27","Fair","NY"
"8208",1,"M",124,583,5,2,"Single","Car",41007,4,"18-27","Fair","CT"
"8209",1,"M",142,766,23,1,"Single","Utility",8215,6,">40","Very Good","ID"
"8210",1,"M",406,666,3,1,"Married","Car",13465,4,"18-27","Fair","KY"
"8211",1,"M",196,376,6,4,"Married","Truck",12031,1,"35-40","Very Poor","OR"
"8212",1,"F",110,755,40,1,"Married","Car",14659,6,">40","Very Good","ND"
"8213",0,"F",128,715,16,1,"Married","Truck",7160,8,">40","Good","WI"
"8214",1,"M",96,732,14,0,"Married","Van",8844,6,">40","Good","WA"
"8215",1,"M",200,571,4,3,"Single","Car",13945,2,"18-27","Very Poor","NY"
"8216",1,"M",109,692,21,0,"Married","Van",9387,8,">40","Good","NY"
"8217",1,"M",103,552,2,2,"Single","Car",13699,2,"18-27","Very Poor","WV"
"8218",1,"F",144,726,13,0,"Married","Car",6071,5,"35-40","Good","CT"
"8219",1,"F",159,674,12,0,"Married","Truck",9405,6,"28-34","Good","CT"
"8220",1,"F",198,559,6,3,"Single","Van",13943,7,"35-40","Very Poor","NY"
"8221",1,"F",253,658,5,0,"Single","Truck",14376,7,"35-40","Fair","WI"
"8222",1,"F",150,778,16,1,"Married","Car",10652,1,">40","Very Good","CT"
"8223",1,"F",90,788,11,0,"Married","Car",12544,2,">40","Very Good","NJ"
"8224",1,"F",105,726,8,2,"Single","Truck",11802,8,"35-40","Good","CT"
"8225",1,"M",88,764,14,0,"Single","Utility",10085,8,">40","Very Good","CT"
"8226",1,"F",239,464,6,2,"Single","Utility",10369,3,"35-40","Very Poor","OR"
"8227",1,"F",262,632,7,3,"Single","Truck",23967,8,"35-40","Fair","OR"
"8228",1,"M",180,540,5,3,"Married","Truck",10224,1,"35-40","Very Poor","ID"
"8229",1,"F",488,708,6,3,"Single","Truck",10975,6,"35-40","Good","NY"
"8230",1,"M",425,698,4,3,"Married","Car",12617,7,"18-27","Good","CT"
"8231",1,"M",247,546,4,2,"Single","Car",12493,5,"18-27","Very Poor","MS"
"8232",1,"F",158,777,9,1,"Married","Truck",11977,4,"18-27","Very Good","NM"
"8233",0,"F",226,660,8,1,"Single","Truck",12225,6,"35-40","Fair","OK"
"8234",0,"M",159,792,20,0,"Married","Utility",14889,5,"28-34","Very Good","OR"
"8235",0,"F",512,711,1,0,"Married","Car",24974,7,"18-27","Good","NJ"
"8236",1,"M",180,550,1,2,"Single","Car",13394,6,"18-27","Very Poor","NJ"
"8237",0,"M",130,715,23,0,"Single","Utility",5276,7,">40","Good","NJ"
"8238",1,"M",123,742,27,1,"Married","Utility",10205,7,">40","Very Good","NJ"
"8239",1,"F",248,674,3,0,"Married","Truck",82269,8,"<18","Good","IA"
"8240",1,"M",406,556,3,3,"Single","Car",11283,1,"18-27","Very Poor","ND"
"8241",1,"F",123,675,17,0,"Married","Car",10112,4,"28-34","Good","CT"
"8242",1,"M",376,698,1,3,"Married","Car",14228,6,"18-27","Good","WV"
"8243",1,"F",99,754,7,2,"Married","Car",6393,6,"18-27","Very Good","OR"
"8244",1,"M",103,755,10,0,"Married","Van",11920,6,">40","Very Good","VA"
"8245",1,"M",326,539,1,3,"Single","Car",11173,3,"18-27","Very Poor","WI"
"8246",1,"M",107,609,13,3,"Married","Truck",14753,8,">40","Fair","IA"
"8247",0,"F",86,741,17,0,"Married","Truck",6483,3,">40","Very Good","OR"
"8248",1,"M",82,788,16,0,"Married","Van",7957,7,"28-34","Very Good","NJ"
"8249",0,"M",120,719,25,0,"Single","Utility",9912,6,">40","Good","OR"
"8250",1,"F",502,717,24,0,"Married","Car",15000,6,">40","Good","NY"
"8251",1,"F",142,698,16,1,"Married","Truck",11616,8,"35-40","Good","CA"
"8252",1,"F",158,749,18,3,"Married","Truck",5670,2,">40","Very Good","AZ"
"8253",1,"F",461,637,2,0,"Married","Car",12578,8,"18-27","Fair","NJ"
"8254",1,"M",98,738,3,3,"Single","Car",14691,5,"18-27","Good","OR"
"8255",1,"F",150,723,8,0,"Married","Car",50258,3,"28-34","Good","KS"
"8256",0,"M",201,739,6,0,"Married","Van",57048,7,"18-27","Good","NJ"
"8257",1,"M",321,609,5,1,"Married","Car",14954,1,"18-27","Fair","OK"
"8258",0,"M",327,715,3,1,"Married","Van",62968,4,"18-27","Good","CO"
"8259",0,"F",295,583,6,1,"Single","Truck",14285,1,"35-40","Fair","NJ"
"8260",0,"F",95,729,16,0,"Married","Truck",9688,5,">40","Good","CA"
"8261",1,"M",198,649,6,1,"Married","Truck",13973,2,"35-40","Fair","NJ"
"8262",1,"F",85,527,8,0,"Married","Car",91462,8,"28-34","Very Poor","NY"
"8263",1,"M",83,704,7,0,"Single","Utility",11648,5,"18-27","Good","NY"
"8264",0,"M",114,754,20,0,"Married","Van",10884,1,">40","Very Good","NY"
"8265",1,"M",136,777,16,0,"Married","Truck",13492,1,">40","Very Good","OR"
"8266",1,"M",174,721,6,2,"Married","Truck",11014,4,"35-40","Good","NJ"
"8267",0,"M",116,671,8,0,"Married","Van",41120,4,"28-34","Good","PA"
"8268",1,"F",88,695,14,1,"Married","Car",50236,7,">40","Good","TX"
"8269",0,"M",153,705,23,1,"Married","Van",12523,4,">40","Good","NY"
"8270",1,"M",80,725,32,1,"Married","Van",11691,8,">40","Good","KS"
"8271",1,"M",151,845,16,1,"Single","Utility",11558,2,">40","Exceptional","OR"
"8272",0,"M",96,831,2,2,"Single","Car",12940,6,"18-27","Exceptional","CT"
"8273",1,"F",99,767,26,0,"Married","Truck",12039,3,">40","Very Good","DE"
"8274",1,"F",130,746,26,1,"Single","Car",11355,4,">40","Very Good","CT"
"8275",1,"M",101,732,11,1,"Married","Van",6189,8,">40","Good","CT"
"8276",1,"F",95,826,7,2,"Single","Van",24911,2,"35-40","Exceptional","OR"
"8277",1,"M",115,670,20,1,"Married","Van",12374,2,">40","Good","NC"
"8278",1,"F",155,675,13,0,"Married","Car",9499,5,"28-34","Good","CT"
"8279",1,"F",250,830,5,3,"Single","Truck",22396,6,"35-40","Exceptional","NJ"
"8280",0,"M",94,765,9,0,"Single","Utility",12847,6,"18-27","Very Good","WA"
"8281",1,"M",141,719,3,0,"Single","Utility",10624,7,"<18","Good","NJ"
"8282",1,"F",594,736,21,3,"Married","Truck",19117,5,">40","Good","WA"
"8283",1,"M",468,636,4,1,"Single","Car",12666,4,"18-27","Fair","OR"
"8284",1,"F",123,731,5,2,"Single","Van",13968,3,"35-40","Good","CT"
"8285",1,"F",111,750,24,1,"Married","Car",21867,1,">40","Very Good","LA"
"8286",1,"F",387,734,5,3,"Single","Truck",10809,2,"35-40","Good","OR"
"8287",1,"F",88,718,29,0,"Married","Car",11184,6,">40","Good","OH"
"8288",0,"F",121,711,18,0,"Married","Truck",8724,2,">40","Good","NJ"
"8289",0,"M",124,673,17,1,"Married","Van",14071,4,"35-40","Good","CT"
"8290",1,"F",151,770,32,1,"Married","Truck",8712,6,">40","Very Good","NY"
"8291",0,"M",134,783,35,0,"Single","Utility",7939,2,">40","Very Good","NJ"
"8292",1,"M",308,561,2,3,"Married","Car",10518,4,"18-27","Very Poor","NY"
"8293",1,"F",146,811,8,2,"Single","Van",16258,5,"35-40","Exceptional","NJ"
"8294",0,"M",187,415,4,3,"Single","Car",11140,8,"18-27","Very Poor","FL"
"8295",1,"F",96,774,14,1,"Married","Car",10459,5,">40","Very Good","NJ"
"8296",1,"M",144,816,22,1,"Single","Utility",8949,7,">40","Exceptional","NY"
"8297",0,"M",114,745,19,1,"Married","Truck",13396,8,">40","Very Good","WY"
"8298",1,"M",167,649,4,0,"Single","Car",12975,1,"18-27","Fair","OR"
"8299",1,"F",324,673,6,2,"Single","Truck",11610,3,"35-40","Good","MN"
"8300",1,"F",266,662,8,1,"Single","Truck",11847,7,"35-40","Fair","WV"
"8301",1,"F",110,743,14,1,"Single","Car",7594,6,"28-34","Very Good","WV"
"8302",0,"F",304,670,7,3,"Single","Truck",12214,7,"35-40","Good","OR"
"8303",0,"M",152,739,9,1,"Married","Van",44346,8,"28-34","Good","CT"
"8304",1,"F",430,659,5,3,"Single","Utility",12244,7,"35-40","Fair","OR"
"8305",1,"M",100,686,20,0,"Married","Utility",14223,5,"35-40","Good","NJ"
"8306",1,"F",201,726,8,0,"Married","Car",51585,3,"18-27","Good","CO"
"8307",1,"M",81,682,30,1,"Single","Utility",10952,4,">40","Good","OR"
"8308",1,"F",154,699,18,0,"Married","Truck",13324,8,">40","Good","CT"
"8309",1,"F",134,696,17,1,"Married","Car",5850,2,">40","Good","ME"
"8310",0,"M",164,562,6,2,"Married","Truck",12762,2,"35-40","Very Poor","NY"
"8311",0,"F",119,746,14,0,"Married","Truck",6680,8,">40","Very Good","OR"
"8312",1,"M",170,702,8,0,"Married","Utility",82335,3,"18-27","Good","OR"
"8313",1,"M",115,785,16,0,"Single","Utility",10304,6,">40","Very Good","AK"
"8314",1,"F",699,610,1,0,"Single","Car",7509,6,"<18","Fair","NY"
"8315",0,"M",116,738,21,0,"Married","Van",5706,7,">40","Good","CT"
"8316",1,"M",157,795,5,0,"Married","Van",5322,5,"18-27","Very Good","WV"
"8317",0,"M",143,669,4,2,"Single","Car",72334,7,"18-27","Fair","OK"
"8318",1,"M",81,759,10,0,"Married","Van",12701,2,"28-34","Very Good","NY"
"8319",1,"F",89,757,23,1,"Married","Car",9954,4,">40","Very Good","OK"
"8320",1,"M",151,771,32,1,"Single","Utility",11651,7,">40","Very Good","ID"
"8321",1,"F",110,671,20,1,"Married","Truck",9335,6,">40","Good","WV"
"8322",1,"F",347,710,7,0,"Married","Car",40830,2,"18-27","Good","VT"
"8323",1,"M",174,696,8,2,"Married","Truck",13842,3,"35-40","Good","CT"
"8324",1,"F",117,757,34,0,"Married","Truck",6939,7,">40","Very Good","IN"
"8325",1,"M",418,333,2,3,"Married","Car",10553,6,"18-27","Very Poor","AL"
"8326",1,"F",119,758,24,1,"Married","Car",6648,8,">40","Very Good","VT"
"8327",0,"F",494,681,16,3,"Married","Truck",23479,5,">40","Good","NY"
"8328",1,"F",129,662,7,2,"Single","Van",66652,6,"35-40","Fair","CT"
"8329",0,"F",97,771,38,0,"Married","Car",19077,7,">40","Very Good","NJ"
"8330",1,"M",87,770,34,0,"Married","Van",13575,5,">40","Very Good","CT"
"8331",0,"F",81,699,35,2,"Married","Car",8140,7,">40","Good","NH"
"8332",1,"M",91,419,3,3,"Single","Car",13148,1,"18-27","Very Poor","NJ"
"8333",1,"M",175,610,3,2,"Single","Car",15415,1,"18-27","Fair","NY"
"8334",0,"F",117,723,25,1,"Married","Car",13873,7,">40","Good","IA"
"8335",1,"F",145,702,6,3,"Single","Van",11942,8,"35-40","Good","CT"
"8336",1,"M",145,812,15,4,"Single","Utility",10028,8,"28-34","Exceptional","CT"
"8337",1,"M",311,698,2,0,"Married","Car",10129,5,"18-27","Good","VA"
"8338",1,"F",182,654,5,0,"Single","Van",14969,3,"35-40","Fair","NY"
"8339",0,"F",112,672,22,1,"Single","Car",14900,1,">40","Good","OR"
"8340",0,"M",114,737,17,0,"Married","Truck",8990,3,">40","Good","NJ"
"8341",0,"M",97,472,3,3,"Single","Car",10352,2,"18-27","Very Poor","CO"
"8342",1,"M",155,703,12,0,"Single","Utility",10796,1,"28-34","Good","KS"
"8343",0,"M",256,618,2,2,"Single","Utility",45329,4,"18-27","Fair","CT"
"8344",0,"M",336,599,4,1,"Single","Utility",10598,2,"18-27","Fair","OR"
"8345",1,"M",160,690,14,0,"Single","Utility",11044,7,"28-34","Good","MT"
"8346",1,"M",151,735,33,1,"Married","Truck",5951,6,">40","Good","ID"
"8347",0,"M",99,713,6,0,"Married","Van",91862,6,"28-34","Good","OR"
"8348",1,"M",146,817,17,0,"Single","Utility",6543,5,"35-40","Exceptional","OR"
"8349",1,"F",194,705,8,2,"Single","Van",12241,5,"35-40","Good","CT"
"8350",1,"F",217,713,13,0,"Married","Car",9359,6,"28-34","Good","MO"
"8351",1,"F",417,652,5,3,"Single","Truck",13626,7,"35-40","Fair","MI"
"8352",0,"F",295,411,7,3,"Single","Truck",12408,2,"35-40","Very Poor","CT"
"8353",0,"F",85,671,18,0,"Married","Truck",5338,1,">40","Good","ID"
"8354",0,"F",363,806,6,2,"Single","Truck",21728,6,"35-40","Exceptional","PA"
"8355",1,"F",93,744,6,0,"Married","Truck",9718,2,"18-27","Very Good","FL"
"8356",1,"F",84,737,18,1,"Married","Car",5004,4,">40","Good","OR"
"8357",1,"M",109,672,23,0,"Married","Van",11026,8,">40","Good","CA"
"8358",1,"M",156,793,39,1,"Married","Truck",7596,4,">40","Very Good","WV"
"8359",1,"F",172,733,8,2,"Single","Van",14702,7,"35-40","Good","NJ"
"8360",1,"M",123,775,8,0,"Married","Van",9645,1,"28-34","Very Good","OH"
"8361",0,"M",94,770,11,1,"Single","Utility",13011,3,">40","Very Good","CT"
"8362",1,"F",139,748,3,0,"Married","Car",13828,1,"18-27","Very Good","CT"
"8363",0,"M",418,409,4,3,"Married","Car",10806,1,"18-27","Very Poor","NJ"
"8364",1,"M",194,617,5,1,"Single","Car",12691,4,"18-27","Fair","GA"
"8365",1,"M",154,686,20,1,"Married","Truck",14728,5,">40","Good","NY"
